dbSize,realDataPercentage,totalQueries,realQueries,falseQueries,avgMultiTime,avgSingleTime,avgMultiBloomChecks,avgMultiSSTChecks
10000000,0,100,0,100,311.44,67895.5,67.52,0
10000000,20,100,20,80,15142.3,67950,66.38,0.63
10000000,40,100,40,60,30958.7,64641.6,67.56,1.26
10000000,60,100,60,40,44345.9,66264.5,71.39,1.83
10000000,80,100,80,20,59256.8,62939.5,70.21,2.4
10000000,100,100,100,0,71538.4,61354.9,72.54,3
50000000,0,100,0,100,1405.74,86981.7,321.6,0
50000000,20,100,20,80,17996.2,85819.6,321.17,0.63
50000000,40,100,40,60,32729.5,88808.2,327.49,1.2
50000000,60,100,60,40,49910.9,86690.8,325.47,1.8
50000000,80,100,80,20,64237.4,81420.6,329.5,2.43
50000000,100,100,100,0,76269.2,86813.1,331.63,3
100000000,0,100,0,100,2862.47,110563,650.5,0
100000000,20,100,20,80,20920,111052,652.8,0.69
100000000,40,100,40,60,35767.5,110855,653.15,1.26
100000000,60,100,60,40,51696.8,111487,656.63,1.89
100000000,80,100,80,20,66846.4,111797,650.89,2.4
100000000,100,100,100,0,81053.4,111451,658.76,3.03
500000000,0,100,0,100,19505.7,322336,3597.47,0.09
500000000,20,100,20,80,34555.4,318772,3593.69,0.66
500000000,40,100,40,60,52768.5,327073,3627.92,1.29
500000000,60,100,60,40,66948.3,322072,3598.98,1.86
500000000,80,100,80,20,79717.5,326716,3606.86,2.4
500000000,100,100,100,0,100108,313775,3608.14,3.09
