dbSize,realDataPercentage,numColumns,avgMultiBloomPerCol,avgMultiLeafPerCol,avgMultiNonLeafPerCol,avgMultiSSTPerCol,avgSingleBloomPerCol,avgSingleLeafPerCol,avgSingleNonLeafPerCol,avgSingleSSTPerCol,avgRealMultiBloomPerCol,avgRealMultiSSTPerCol,avgFalseMultiBloomPerCol,avgFalseMultiSSTPerCol
10000000,0,3,22.5067,4.18,18.3267,0,73.45,48.5,24.95,2.34,0,0,22.5067,0
10000000,20,3,22.1267,3.80333,18.3233,0.21,73.9,49,24.9,2.4,23.0833,1,21.8875,0.0125
10000000,40,3,22.52,4.21667,18.3033,0.42,73.15,48.15,25,2.32,24.7,1,21.0667,0.0333333
10000000,60,3,23.7967,5.22,18.5767,0.61,75.2,50.2,25,2.72,24.5944,1,22.6,0.025
10000000,80,3,23.4033,5.02333,18.38,0.8,74.65,49.65,25,2.91,23.75,1,22.0167,0
10000000,100,3,24.18,5.77667,18.4033,1,74.85,49.85,25,2.73,24.18,1,0,0
50000000,0,3,107.2,17.7367,89.4633,0,361.5,236.6,124.9,9.15,0,0,107.2,0
50000000,20,3,107.057,18,89.0567,0.21,355,230.2,124.8,9.24,109.617,1,106.417,0.0125
50000000,40,3,109.163,19.3,89.8633,0.4,357.6,232.65,124.95,9.65,110.483,1,108.283,0
50000000,60,3,108.49,19.08,89.41,0.6,357.45,232.65,124.8,9.67,108.706,1,108.167,0
50000000,80,3,109.833,19.3933,90.44,0.81,365.45,240.45,125,9.05,110.479,1.0125,107.25,0
50000000,100,3,110.543,20.13,90.4133,1,361.55,236.75,124.8,9.18,110.543,1,0,0
100000000,0,3,216.833,36.6433,180.19,0,720.75,470.25,250.5,18.21,0,0,216.833,0
100000000,20,3,217.6,36.9467,180.653,0.23,722.35,471.7,250.65,17.39,220.283,1,216.929,0.0375
100000000,40,3,217.717,37.0833,180.633,0.42,721.9,471.05,250.85,18.45,218.2,1,217.394,0.0333333
100000000,60,3,218.877,38.4633,180.413,0.63,722,471.35,250.65,18.43,219.828,1.01667,217.45,0.05
100000000,80,3,216.963,37.1833,179.78,0.8,720.7,470.05,250.65,18.13,218.183,1,212.083,0
100000000,100,3,219.587,38.47,181.117,1.01,726.65,475.75,250.9,18.2,219.587,1.01,0,0
500000000,0,3,1199.16,176.66,1022.5,0.03,3577.32,2331,1246.32,87.38,0,0,1199.16,0.03
500000000,20,3,1197.9,175.48,1022.42,0.22,3576.82,2330.47,1246.35,86.34,1196.75,1.05,1198.18,0.0125
500000000,40,3,1209.31,180.71,1028.6,0.43,3594.24,2348.02,1246.22,88.01,1210.97,1,1208.2,0.05
500000000,60,3,1199.66,177.543,1022.12,0.62,3564.34,2318.89,1245.45,87.82,1197.59,0.983333,1202.76,0.075
500000000,80,3,1202.29,178.03,1024.26,0.8,3583.39,2337.05,1246.34,88.82,1202.13,0.975,1202.9,0.1
500000000,100,3,1202.71,177.87,1024.84,1.03,3583.38,2337.47,1245.91,86.51,1202.71,1.03,0,0
