dbSize,realDataPercentage,avgMultiBloomChecks,avgMultiLeafBloomChecks,avgMultiNonLeafBloomChecks,avgMultiSSTChecks,avgSingleBloomChecks,avgSingleLeafBloomChecks,avgSingleNonLeafBloomChecks,avgSingleSSTChecks,avgRealMultiBloomChecks,avgRealMultiSSTChecks,avgFalseMultiBloomChecks,avgFalseMultiSSTChecks
10000000,0,37.42,0.99,36.43,0,42.95,18.8,24.15,1.03,0,0,37.42,0
10000000,20,37.57,1.76,35.81,0.6,40.65,16.9,23.75,0.98,44.45,3,35.85,0
10000000,40,39.62,3.11,36.51,1.2,41.35,17.3,24.05,1.02,45.775,3,35.5167,0
10000000,60,41.65,4.73,36.92,1.8,41.5,17.5,24,1.08,45.5167,3,35.85,0
10000000,80,44.19,6.05,38.14,2.4,44,19.95,24.05,1.19,45.95,3,37.15,0
10000000,100,44.61,7.34,37.27,3,42.4,18.85,23.55,1.29,44.61,3,0,0
50000000,0,174.73,1.62,173.11,0,194,75.15,118.85,2.17,0,0,174.73,0
50000000,20,176.49,3.17,173.32,0.6,192.8,75.05,117.75,1.85,183.85,3,174.65,0
50000000,40,178.2,4.77,173.43,1.2,193,74.1,118.9,2.03,181.2,3,176.2,0
50000000,60,180.77,5.99,174.78,1.8,197.05,77.9,119.15,2.23,183.967,3,175.975,0
50000000,80,182.37,6.99,175.38,2.4,196.85,78.8,118.05,2.33,185.137,3,171.3,0
50000000,100,182.39,8.43,173.96,3,196.05,77.7,118.35,2.39,182.39,3,0,0
100000000,0,352.25,3.71,348.54,0,386.35,150.6,235.75,3.12,0,0,352.25,0
100000000,20,352.94,4.78,348.16,0.6,383.95,147.5,236.45,3.24,360.65,3,351.012,0
100000000,40,353.73,6.69,347.04,1.2,385.05,147.95,237.1,3.53,358.4,3,350.617,0
100000000,60,355.27,7.47,347.8,1.8,384.15,147.2,236.95,3.41,357.883,3,351.35,0
100000000,80,358.09,8.75,349.34,2.4,385.3,148.3,237,3.61,360,3,350.45,0
100000000,100,360.12,9.57,350.55,3,386.55,149.25,237.3,3.82,360.12,3,0,0
500000000,0,2008.96,17.54,1991.42,0,1919.72,738.52,1181.2,13.92,0,0,2008.96,0
500000000,20,2002.91,17.46,1985.45,0.6,1916.67,738.73,1177.94,14.76,1990.9,3,2005.91,0
500000000,40,2006.44,17.42,1989.02,1.17,1913.92,732.15,1181.77,14.47,2017.72,2.925,1998.92,0
500000000,60,1999.58,20.14,1979.44,1.77,1909.38,731.15,1178.23,14.26,2004.03,2.95,1992.9,0
500000000,80,2008.2,21.61,1986.59,2.37,1921.19,741.81,1179.38,14.49,2011.67,2.9625,1994.3,0
500000000,100,2006.1,22.81,1983.29,2.97,1914.85,737.5,1177.35,14.09,2006.1,2.97,0,0
