dbSize,realDataPercentage,avgRealMultiTime,avgRealSingleTime,avgFalseMultiTime,avgFalseSingleTime,avgHierarchicalMultiTime,avgHierarchicalSingleTime
10000000,0,0,0,105.41,45126.1,105.41,45126.1
10000000,20,72162.8,52429.9,103.15,46710.7,14515.1,47854.5
10000000,40,74526.3,52085.8,108.4,49764.8,29875.5,50693.2
10000000,60,71527.9,54073.5,109.425,61705.9,42960.5,57126.4
10000000,80,72970.8,53907.9,91.5,46431.6,58394.9,52412.7
10000000,100,72531.7,54454.3,0,0,72531.7,54454.3
50000000,0,0,0,402.53,50087.6,402.53,50087.6
50000000,20,72276.9,53036.5,398.1,52687.7,14773.9,52757.4
50000000,40,73306.4,53439.5,402.95,50629.3,29564.3,51753.4
50000000,60,72362.2,53699.5,394.075,53752.9,43575,53720.9
50000000,80,71420.9,53197.7,431.5,56451.3,57223,53848.4
50000000,100,71595.3,53635.8,0,0,71595.3,53635.8
100000000,0,0,0,779.97,57511.8,779.97,57511.8
100000000,20,71486.9,55135.7,786.15,54468.9,14926.3,54602.3
100000000,40,74638.6,56482.1,776.867,53231.9,30321.5,54532
100000000,60,72366.8,54828,819.725,58591.7,43747.9,56333.5
100000000,80,73875.1,56939.2,793.3,54970.3,59258.7,56545.4
100000000,100,74625.9,57482.8,0,0,74625.9,57482.8
500000000,0,0,0,4627.23,74162.5,4627.23,74162.5
500000000,20,80863.8,69629.1,4600.98,69973.2,19853.5,69904.4
500000000,40,79505,71433.9,4628.6,68336.1,34579.2,69575.3
500000000,60,77916.4,69836.5,4705.73,76516.2,48632.1,72508.4
500000000,80,79426.7,72008.5,4635.3,75780.5,64468.4,72762.9
500000000,100,77533,70810,0,0,77533,70810
