numRecords,numColumns,realDataPercentage,avgMultiBloomChecks,avgMultiLeafBloomChecks,avgMultiNonLeafBloomChecks,avgMultiSSTChecks,avgSingleBloomChecks,avgSingleLeafBloomChecks,avgSingleNonLeafBloomChecks,avgSingleSSTChecks,avgRealMultiBloomChecks,avgRealMultiSSTChecks,avgFalseMultiBloomChecks,avgFalseMultiSSTChecks
50000000,2,0,80.11,0.09,80.02,0,90.05,5.34,84.71,0.63,0,0,80.11,0
50000000,2,20,81.44,0.87,80.57,0.4,90.07,5.27,84.8,0.8,90.55,2,79.1625,0
50000000,2,40,84.19,1.63,82.56,0.8,93.46,6.33,87.13,0.92,91.225,2,79.5,0
50000000,2,60,87.96,2.44,85.52,1.2,94.45,6.34,88.11,0.98,91.1167,2,83.225,0
50000000,2,80,88.4,3.29,85.11,1.6,91.91,6,85.91,0.99,90.4125,2,80.35,0
50000000,2,100,91.35,4.07,87.28,2,93.63,6.64,86.99,1.18,91.35,2,0,0
50000000,4,0,96.89,0,96.89,0,92.57,6.19,86.38,0.95,0,0,96.89,0
50000000,4,20,98.66,1.2,97.46,0.8,93.33,6.87,86.46,0.97,111.15,4,95.5375,0
50000000,4,40,102.98,2.4,100.58,1.6,94.02,7.31,86.71,1.05,114.075,4,95.5833,0
50000000,4,60,105.83,3.59,102.24,2.4,94.04,6.5,87.54,1.09,114.2,4,93.275,0
50000000,4,80,111.31,4.8,106.51,3.2,95.49,7.17,88.32,1.18,115.487,4,94.6,0
50000000,4,100,113.31,6,107.31,4,95.77,7.86,87.91,1.23,113.31,4,0,0
50000000,6,0,113.32,0,113.32,0,93.32,6.75,86.57,1.05,0,0,113.32,0
50000000,6,20,118.4,1.6,116.8,1.2,95.19,7.23,87.96,1.07,140.4,6,112.9,0
50000000,6,40,124.19,3.2,120.99,2.4,94.95,6.66,88.29,1.06,136.75,6,115.817,0
50000000,6,60,129.37,4.8,124.57,3.6,91.59,6.56,85.03,1.03,139.467,6,114.225,0
50000000,6,80,135.9,6.4,129.5,4.8,94.63,6.26,88.37,1.09,141.088,6,115.15,0
50000000,6,100,138.3,8,130.3,6,94.17,7.47,86.7,1.24,138.3,6,0,0
50000000,8,0,133.05,0,133.05,0,93.91,6.03,87.88,1,0,0,133.05,0
50000000,8,20,138.28,2,136.28,1.6,93.82,6.84,86.98,1.03,161.4,8,132.5,0
50000000,8,40,146.96,3.99,142.97,3.2,95.33,6.94,88.39,1.05,168.6,8,132.533,0
50000000,8,60,147.71,6,141.71,4.8,93.39,6.9,86.49,1.12,161.717,8,126.7,0
50000000,8,80,157.72,7.98,149.74,6.4,94.57,6.67,87.9,1.05,164.988,8,128.65,0
50000000,8,100,166.55,10,156.55,8,93.91,7.02,86.89,1.2,166.55,8,0,0
50000000,10,0,148.4,0,148.4,0,93.32,6.66,86.66,1.08,0,0,148.4,0
50000000,10,20,158.23,2.4,155.83,2,94.23,6.32,87.91,1.04,194.4,10,149.188,0
50000000,10,40,165.72,4.8,160.92,4,93.21,6.86,86.35,1.11,186.475,10,151.883,0
50000000,10,60,172.3,7.2,165.1,6,94.37,7.22,87.15,1.15,187.767,10,149.1,0
50000000,10,80,181.51,9.6,171.91,8,94.68,7.16,87.52,1.21,189.075,10,151.25,0
50000000,10,100,189.36,11.99,177.37,10,94.58,7.29,87.29,1.14,189.36,10,0,0
