numRecords,numColumns,realDataPercentage,avgMultiBloomPerCol,avgMultiLeafPerCol,avgMultiNonLeafPerCol,avgMultiSSTPerCol,avgSingleBloomPerCol,avgSingleLeafPerCol,avgSingleNonLeafPerCol,avgSingleSSTPerCol,avgRealMultiBloomPerCol,avgRealMultiSSTPerCol,avgFalseMultiBloomPerCol,avgFalseMultiSSTPerCol
50000000,2,0,40.055,0.045,40.01,0,90.05,5.34,84.71,0.63,0,0,40.055,0
50000000,2,20,40.72,0.435,40.285,0.2,90.07,5.27,84.8,0.8,45.275,1,39.5812,0
50000000,2,40,42.095,0.815,41.28,0.4,93.46,6.33,87.13,0.92,45.6125,1,39.75,0
50000000,2,60,43.98,1.22,42.76,0.6,94.45,6.34,88.11,0.98,45.5583,1,41.6125,0
50000000,2,80,44.2,1.645,42.555,0.8,91.91,6,85.91,0.99,45.2062,1,40.175,0
50000000,2,100,45.675,2.035,43.64,1,93.63,6.64,86.99,1.18,45.675,1,0,0
50000000,4,0,24.2225,0,24.2225,0,92.57,6.19,86.38,0.95,0,0,24.2225,0
50000000,4,20,24.665,0.3,24.365,0.2,93.33,6.87,86.46,0.97,27.7875,1,23.8844,0
50000000,4,40,25.745,0.6,25.145,0.4,94.02,7.31,86.71,1.05,28.5188,1,23.8958,0
50000000,4,60,26.4575,0.8975,25.56,0.6,94.04,6.5,87.54,1.09,28.55,1,23.3188,0
50000000,4,80,27.8275,1.2,26.6275,0.8,95.49,7.17,88.32,1.18,28.8719,1,23.65,0
50000000,4,100,28.3275,1.5,26.8275,1,95.77,7.86,87.91,1.23,28.3275,1,0,0
50000000,6,0,18.8867,0,18.8867,0,93.32,6.75,86.57,1.05,0,0,18.8867,0
50000000,6,20,19.7333,0.266667,19.4667,0.2,95.19,7.23,87.96,1.07,23.4,1,18.8167,0
50000000,6,40,20.6983,0.533333,20.165,0.4,94.95,6.66,88.29,1.06,22.7917,1,19.3028,0
50000000,6,60,21.5617,0.8,20.7617,0.6,91.59,6.56,85.03,1.03,23.2444,1,19.0375,0
50000000,6,80,22.65,1.06667,21.5833,0.8,94.63,6.26,88.37,1.09,23.5146,1,19.1917,0
50000000,6,100,23.05,1.33333,21.7167,1,94.17,7.47,86.7,1.24,23.05,1,0,0
50000000,8,0,16.6313,0,16.6313,0,93.91,6.03,87.88,1,0,0,16.6313,0
50000000,8,20,17.285,0.25,17.035,0.2,93.82,6.84,86.98,1.03,20.175,1,16.5625,0
50000000,8,40,18.37,0.49875,17.8712,0.4,95.33,6.94,88.39,1.05,21.075,1,16.5667,0
50000000,8,60,18.4638,0.75,17.7138,0.6,93.39,6.9,86.49,1.12,20.2146,1,15.8375,0
50000000,8,80,19.715,0.9975,18.7175,0.8,94.57,6.67,87.9,1.05,20.6234,1,16.0813,0
50000000,8,100,20.8188,1.25,19.5688,1,93.91,7.02,86.89,1.2,20.8188,1,0,0
50000000,10,0,14.84,0,14.84,0,93.32,6.66,86.66,1.08,0,0,14.84,0
50000000,10,20,15.823,0.24,15.583,0.2,94.23,6.32,87.91,1.04,19.44,1,14.9187,0
50000000,10,40,16.572,0.48,16.092,0.4,93.21,6.86,86.35,1.11,18.6475,1,15.1883,0
50000000,10,60,17.23,0.72,16.51,0.6,94.37,7.22,87.15,1.15,18.7767,1,14.91,0
50000000,10,80,18.151,0.96,17.191,0.8,94.68,7.16,87.52,1.21,18.9075,1,15.125,0
50000000,10,100,18.936,1.199,17.737,1,94.58,7.29,87.29,1.14,18.936,1,0,0
