numRecords,numColumns,realDataPercentage,avgMultiTime,avgSingleTime,avgMultiBloomPerCol,avgMultiSSTPerCol
50000000,2,0,413.1,39029,40.055,0
50000000,2,20,15474,44067.7,40.72,0.2
50000000,2,40,29433.8,49316.6,42.095,0.4
50000000,2,60,44617,50940.6,43.98,0.6
50000000,2,80,58179.2,47864.4,44.2,0.8
50000000,2,100,71510.5,57403.1,45.675,1
50000000,4,0,526.21,56005.4,24.2225,0
50000000,4,20,14727.1,56942.1,24.665,0.2
50000000,4,40,29057.4,57297.4,25.745,0.4
50000000,4,60,44593.2,56209.3,26.4575,0.6
50000000,4,80,60329.9,57365.9,27.8275,0.8
50000000,4,100,72640.9,56532,28.3275,1
50000000,6,0,612.18,62023.1,18.8867,0
50000000,6,20,15528.7,64221.2,19.7333,0.2
50000000,6,40,29688.8,58889,20.6983,0.4
50000000,6,60,45347.4,55727.4,21.5617,0.6
50000000,6,80,60466.6,56544,22.65,0.8
50000000,6,100,73918.6,55803.1,23.05,1
50000000,8,0,715.37,62326.1,16.6313,0
50000000,8,20,15992.9,64120,17.285,0.2
50000000,8,40,31766.9,62034.7,18.37,0.4
50000000,8,60,45242.6,60332.1,18.4638,0.6
50000000,8,80,61794.6,56720.6,19.715,0.8
50000000,8,100,79336.4,56896.3,20.8188,1
50000000,10,0,801.34,63474.8,14.84,0
50000000,10,20,16471.3,65372.6,15.823,0.2
50000000,10,40,32917,64526.6,16.572,0.4
50000000,10,60,49663.7,65469.9,17.23,0.6
50000000,10,80,66451,60809.4,18.151,0.8
50000000,10,100,82807.4,59220.4,18.936,1
