numRecords,numColumns,realDataPercentage,avgRealMultiTime,avgRealSingleTime,avgFalseMultiTime,avgFalseSingleTime,avgHierarchicalMultiTime,avgHierarchicalSingleTime
50000000,2,0,0,0,413.1,39029,413.1,39029
50000000,2,20,75743.3,53649.5,406.712,41672.2,15474,44067.7
50000000,2,40,72967.6,53919.7,411.3,46247.8,29433.8,49316.6
50000000,2,60,74075.4,54221.8,429.275,46018.8,44617,50940.6
50000000,2,80,72621.9,53483.7,408.5,25387.7,58179.2,47864.4
50000000,2,100,71510.5,57403.1,0,0,71510.5,57403.1
50000000,4,0,0,0,526.21,56005.4,526.21,56005.4
50000000,4,20,71571.1,55475.1,516.163,57308.8,14727.1,56942.1
50000000,4,40,71865,59386.3,519.033,55904.8,29057.4,57297.4
50000000,4,60,73982.9,55806.3,508.65,56813.8,44593.2,56209.3
50000000,4,80,75284.3,55909.4,512.1,63191.9,60329.9,57365.9
50000000,4,100,72640.9,56532,0,0,72640.9,56532
50000000,6,0,0,0,612.18,62023.1,612.18,62023.1
50000000,6,20,75210.1,55931.6,608.35,66293.7,15528.7,64221.2
50000000,6,40,73275.2,56375.4,631.133,60564.8,29688.8,58889
50000000,6,60,75172,56195.5,610.475,55025.3,45347.4,55727.4
50000000,6,80,75425,56668.4,632.9,56046.5,60466.6,56544
50000000,6,100,73918.6,55803.1,0,0,73918.6,55803.1
50000000,8,0,0,0,715.37,62326.1,715.37,62326.1
50000000,8,20,77092.2,55529.4,718.1,66267.6,15992.9,64120
50000000,8,40,78339.3,56034.4,718.633,66034.9,31766.9,62034.7
50000000,8,60,74939.6,56859.3,697.1,65541.3,45242.6,60332.1
50000000,8,80,77067.4,55609.2,703.55,61166.4,61794.6,56720.6
50000000,8,100,79336.4,56896.3,0,0,79336.4,56896.3
50000000,10,0,0,0,801.34,63474.8,801.34,63474.8
50000000,10,20,79105.2,54764.6,812.875,68024.6,16471.3,65372.6
50000000,10,40,81042.8,59384.7,833.217,67954.5,32917,64526.6
50000000,10,60,82224.1,60910.9,823,72308.2,49663.7,65469.9
50000000,10,80,82855.2,58888.3,834.15,68493.6,66451,60809.4
50000000,10,100,82807.4,59220.4,0,0,82807.4,59220.4
