dbSize,realDataPercentage,totalQueries,realQueries,falseQueries,avgMultiTime,avgSingleTime,avgMultiBloomChecks,avgMultiSSTChecks
10000000,0,100,0,100,571.15,58456,130.05,0
10000000,20,100,20,80,15390.2,61231.8,132.17,0.6
10000000,33,100,33,67,24215,60472.2,130.92,0.99
10000000,50,100,50,50,37450.3,60834,130.6,1.5
10000000,75,100,75,25,54788.8,62872.7,131.64,2.25
10000000,100,100,100,0,74158.4,59602.1,133.03,3
50000000,0,100,0,100,5358.56,76527.7,759,0.06
50000000,20,100,20,80,15145,76129,758.91,0.6
50000000,33,100,33,67,19862,74740.5,760.78,0.99
50000000,50,100,50,50,29743.5,74193.7,758.28,1.53
50000000,75,100,75,25,40570.8,73031.2,760.59,2.25
50000000,100,100,100,0,54867.3,73436.1,756.85,3.06
100000000,0,100,0,100,5553.35,90499.9,1300.81,0
100000000,20,100,20,80,20912.5,88515.4,1301.04,0.6
100000000,33,100,33,67,32097.2,89589.1,1299.73,0.99
100000000,50,100,50,50,45661,91930.2,1303.75,1.5
100000000,75,100,75,25,63921,87733.7,1300.1,2.25
100000000,100,100,100,0,82682.7,88143.1,1304.08,3
500000000,0,100,0,100,25484.1,205194,6468.94,0
500000000,20,100,20,80,41929.8,206306,6459.22,0.6
500000000,33,100,33,67,51577,203903,6460.58,0.99
500000000,50,100,50,50,65780.3,203688,6463.12,1.5
500000000,75,100,75,25,85625.2,207331,6478.75,2.28
500000000,100,100,100,0,107905,206509,6467,2.97
