numRecords,itemsPerPartition,realDataPercentage,falsePositiveProbability,avgMultiTime,avgSingleTime,avgMultiBloomPerCol,avgMultiSSTPerCol
50000000,50000,0,0.000303129,2439.47,35018.2,152.69,0
50000000,50000,20,0.000303129,10712.4,31106,153.837,0.2
50000000,50000,33,0.000303129,17234.8,35294.2,154.397,0.33
50000000,50000,50,0.000303129,23571.6,31866.4,153.98,0.5
50000000,50000,75,0.000303129,34959.5,33430.6,155.383,0.75
50000000,50000,100,0.000303129,46160.7,36458,155.647,1
50000000,75000,0,0.00226426,2641.23,55090.5,166.933,0
50000000,75000,20,0.00226426,13481.1,51364.2,166.687,0.2
50000000,75000,33,0.00226426,20873.3,52832.2,168,0.33
50000000,75000,50,0.00226426,29417.3,53013.2,168.973,0.5
50000000,75000,75,0.00226426,41095.5,54855.9,168.78,0.75
50000000,75000,100,0.00226426,54652.9,52895.2,167.937,1
50000000,100000,0,0.00843621,2949.29,76332.3,187.633,0
50000000,100000,20,0.00843621,16671,75074.7,188.533,0.21
50000000,100000,33,0.00843621,25852.3,74207.4,188.73,0.33
50000000,100000,50,0.00843621,36480.4,71517.9,188.81,0.5
50000000,100000,75,0.00843621,57442.5,72963.7,188.48,0.75
50000000,100000,100,0.00843621,71504.6,70916.8,191.187,1
50000000,200000,0,0.11645,70823.9,239747,211.49,0.94
50000000,200000,20,0.11645,91733.1,247258,212.44,1.36
50000000,200000,33,0.11645,120463,242607,211.857,1.58
50000000,200000,50,0.11645,123992,253914,213.357,1.6
50000000,200000,75,0.11645,135870,247656,213.55,1.81
50000000,200000,100,0.11645,155698,246110,212.647,2
