dbSize,realDataPercentage,avgMultiBloomChecks,avgMultiLeafBloomChecks,avgMultiNonLeafBloomChecks,avgMultiSSTChecks,avgSingleBloomChecks,avgSingleLeafBloomChecks,avgSingleNonLeafBloomChecks,avgSingleSSTChecks,avgRealMultiBloomChecks,avgRealMultiSSTChecks,avgFalseMultiBloomChecks,avgFalseMultiSSTChecks
10000000,0,67.52,12.54,54.98,0,73.45,48.5,24.95,2.34,0,0,67.52,0
10000000,20,66.38,11.41,54.97,0.63,73.9,49,24.9,2.4,69.25,3,65.6625,0.0375
10000000,40,67.56,12.65,54.91,1.26,73.15,48.15,25,2.32,74.1,3,63.2,0.1
10000000,60,71.39,15.66,55.73,1.83,75.2,50.2,25,2.72,73.7833,3,67.8,0.075
10000000,80,70.21,15.07,55.14,2.4,74.65,49.65,25,2.91,71.25,3,66.05,0
10000000,100,72.54,17.33,55.21,3,74.85,49.85,25,2.73,72.54,3,0,0
50000000,0,321.6,53.21,268.39,0,361.5,236.6,124.9,9.15,0,0,321.6,0
50000000,20,321.17,54,267.17,0.63,355,230.2,124.8,9.24,328.85,3,319.25,0.0375
50000000,40,327.49,57.9,269.59,1.2,357.6,232.65,124.95,9.65,331.45,3,324.85,0
50000000,60,325.47,57.24,268.23,1.8,357.45,232.65,124.8,9.67,326.117,3,324.5,0
50000000,80,329.5,58.18,271.32,2.43,365.45,240.45,125,9.05,331.438,3.0375,321.75,0
50000000,100,331.63,60.39,271.24,3,361.55,236.75,124.8,9.18,331.63,3,0,0
100000000,0,650.5,109.93,540.57,0,720.75,470.25,250.5,18.21,0,0,650.5,0
100000000,20,652.8,110.84,541.96,0.69,722.35,471.7,250.65,17.39,660.85,3,650.788,0.1125
100000000,40,653.15,111.25,541.9,1.26,721.9,471.05,250.85,18.45,654.6,3,652.183,0.1
100000000,60,656.63,115.39,541.24,1.89,722,471.35,250.65,18.43,659.483,3.05,652.35,0.15
100000000,80,650.89,111.55,539.34,2.4,720.7,470.05,250.65,18.13,654.55,3,636.25,0
100000000,100,658.76,115.41,543.35,3.03,726.65,475.75,250.9,18.2,658.76,3.03,0,0
500000000,0,3597.47,529.98,3067.49,0.09,3577.32,2331,1246.32,87.38,0,0,3597.47,0.09
500000000,20,3593.69,526.44,3067.25,0.66,3576.82,2330.47,1246.35,86.34,3590.25,3.15,3594.55,0.0375
500000000,40,3627.92,542.13,3085.79,1.29,3594.24,2348.02,1246.22,88.01,3632.9,3,3624.6,0.15
500000000,60,3598.98,532.63,3066.35,1.86,3564.34,2318.89,1245.45,87.82,3592.78,2.95,3608.28,0.225
500000000,80,3606.86,534.09,3072.77,2.4,3583.39,2337.05,1246.34,88.82,3606.4,2.925,3608.7,0.3
500000000,100,3608.14,533.61,3074.53,3.09,3583.38,2337.47,1245.91,86.51,3608.14,3.09,0,0
